Province_State,Country_Region,Date,Fatalities
Jilin,China,01/29/2020,0
Czechia,Czechia,01/29/2020,0
Xinjiang,China,01/29/2020,0
Inner Mongolia,China,01/29/2020,0
Ningxia,China,01/29/2020,0
Taiwan*,Taiwan*,01/29/2020,0
Vietnam,Vietnam,01/29/2020,0
Russia,Russia,01/29/2020,0
Qinghai,China,01/29/2020,0
Macau,China,01/29/2020,0
Moldova,Moldova,01/29/2020,0
Bolivia,Bolivia,01/29/2020,0
Faroe Islands,Denmark,01/29/2020,0
St Martin,France,01/29/2020,0
Honduras,Honduras,01/29/2020,0
Channel Islands,United Kingdom,01/29/2020,0
New Brunswick,Canada,01/29/2020,0
Tibet,China,01/29/2020,0
Congo (Kinshasa),Congo (Kinshasa),01/29/2020,0
Cote d'Ivoire,Cote d'Ivoire,01/29/2020,0
Saint Barthelemy,France,01/29/2020,0
Jamaica,Jamaica,01/29/2020,0
Turkey,Turkey,01/29/2020,0
Gibraltar,United Kingdom,01/29/2020,0
Kitsap WA,US,01/29/2020,0
Solano CA,US,01/29/2020,0
Santa Cruz CA,US,01/29/2020,0
Napa CA,US,01/29/2020,0
Ventura CA,US,01/29/2020,0
Worcester MA,US,01/29/2020,0
Gwinnett GA,US,01/29/2020,0
DeKalb GA,US,01/29/2020,0
Floyd GA,US,01/29/2020,0
Fayette GA,US,01/29/2020,0
Gregg TX,US,01/29/2020,0
Monmouth NJ,US,01/29/2020,0
Burlington NJ,US,01/29/2020,0
Camden NJ,US,01/29/2020,0
Passaic NJ,US,01/29/2020,0
Union NJ,US,01/29/2020,0
Eagle CO,US,01/29/2020,0
Larimer CO,US,01/29/2020,0
Arapahoe CO,US,01/29/2020,0
Gunnison CO,US,01/29/2020,0
Kane IL,US,01/29/2020,0
Monroe PA,US,01/29/2020,0
Philadelphia PA,US,01/29/2020,0
Norfolk VA,US,01/29/2020,0
Arlington VA,US,01/29/2020,0
Spotsylvania VA,US,01/29/2020,0
Loudoun VA,US,01/29/2020,0
Prince George's MD,US,01/29/2020,0
Pottawattamie IA,US,01/29/2020,0
Camden NC,US,01/29/2020,0
Pima AZ,US,01/29/2020,0
Noble IN,US,01/29/2020,0
Adams IN,US,01/29/2020,0
Boone IN,US,01/29/2020,0
Dane WI,US,01/29/2020,0
Pierce WI,US,01/29/2020,0
Cuyahoga OH,US,01/29/2020,0
Weber UT,US,01/29/2020,0
Bennington County VT,US,01/29/2020,0
Carver County MN,US,01/29/2020,0
Charlotte County FL,US,01/29/2020,0
Cherokee County GA,US,01/29/2020,0
Collin County TX,US,01/29/2020,0
Jefferson County KY,US,01/29/2020,0
Jefferson Parish LA,US,01/29/2020,0
Shasta County CA,US,01/29/2020,0
Spartanburg County SC,US,01/29/2020,0
Harrison County KY,US,01/29/2020,0
Johnson County IA,US,01/29/2020,0
Berkshire County MA,US,01/29/2020,0
Davidson County TN,US,01/29/2020,0
Douglas County OR,US,01/29/2020,0
Fresno County CA,US,01/29/2020,0
Harford County MD,US,01/29/2020,0
Hendricks County IN,US,01/29/2020,0
Hudson County NJ,US,01/29/2020,0
Johnson County KS,US,01/29/2020,0
Kittitas County WA,US,01/29/2020,0
Manatee County FL,US,01/29/2020,0
Marion County OR,US,01/29/2020,0
Okaloosa County FL,US,01/29/2020,0
Polk County GA,US,01/29/2020,0
Riverside County CA,US,01/29/2020,0
Shelby County TN,US,01/29/2020,0
St. Louis County MO,US,01/29/2020,0
Suffolk County NY,US,01/29/2020,0
Ulster County NY,US,01/29/2020,0
Volusia County FL,US,01/29/2020,0
Fairfax County VA,US,01/29/2020,0
Rockingham County NH,US,01/29/2020,0
Washington D.C.,US,01/29/2020,0
Montgomery County PA,US,01/29/2020,0
Alameda County CA,US,01/29/2020,0
Broward County FL,US,01/29/2020,0
Lee County FL,US,01/29/2020,0
Pinal County AZ,US,01/29/2020,0
Rockland County NY,US,01/29/2020,0
Saratoga County NY,US,01/29/2020,0
Charleston County SC,US,01/29/2020,0
Clark County WA,US,01/29/2020,0
Cobb County GA,US,01/29/2020,0
Davis County UT,US,01/29/2020,0
El Paso County CO,US,01/29/2020,0
Honolulu County HI,US,01/29/2020,0
Jackson County OR ,US,01/29/2020,0
Jefferson County WA,US,01/29/2020,0
Kershaw County SC,US,01/29/2020,0
Klamath County OR,US,01/29/2020,0
Madera County CA,US,01/29/2020,0
Pierce County WA,US,01/29/2020,0
Tulsa County OK,US,01/29/2020,0
Douglas County CO,US,01/29/2020,0
Providence County RI,US,01/29/2020,0
Chatham County NC,US,01/29/2020,0
Delaware County PA,US,01/29/2020,0
Douglas County NE,US,01/29/2020,0
Fayette County KY,US,01/29/2020,0
Marion County IN,US,01/29/2020,0
Middlesex County MA,US,01/29/2020,0
Nassau County NY,US,01/29/2020,0
Ramsey County MN,US,01/29/2020,0
Washoe County NV,US,01/29/2020,0
Wayne County PA,US,01/29/2020,0
Yolo County CA,US,01/29/2020,0
Santa Clara County CA,US,01/29/2020,0
Clark County NV,US,01/29/2020,0
Fort Bend County TX,US,01/29/2020,0
Grant County WA,US,01/29/2020,0
Santa Rosa County FL,US,01/29/2020,0
Williamson County TN,US,01/29/2020,0
New York County NY,US,01/29/2020,0
Montgomery County MD,US,01/29/2020,0
Suffolk County MA,US,01/29/2020,0
Denver County CO,US,01/29/2020,0
Summit County CO,US,01/29/2020,0
Bergen County NJ,US,01/29/2020,0
Harris County TX,US,01/29/2020,0
San Francisco County CA,US,01/29/2020,0
Contra Costa County CA,US,01/29/2020,0
Orange County CA,US,01/29/2020,0
Norfolk County MA,US,01/29/2020,0
Maricopa County AZ,US,01/29/2020,0
Wake County NC,US,01/29/2020,0
Westchester County NY,US,01/29/2020,0
Grafton County NH,US,01/29/2020,0
Hillsborough FL,US,01/29/2020,0
Placer County CA,US,01/29/2020,0
San Mateo CA,US,01/29/2020,0
Sonoma County CA,US,01/29/2020,0
Umatilla OR,US,01/29/2020,0
Fulton County GA,US,01/29/2020,0
Washington County OR,US,01/29/2020,0
Snohomish County WA,US,01/29/2020,0
Humboldt County CA,US,01/29/2020,0
Sacramento County CA,US,01/29/2020,0
San Diego County CA,US,01/29/2020,0
San Benito CA,US,01/29/2020,0
Los Angeles CA,US,01/29/2020,0
King County WA,US,01/29/2020,0
Cook County IL,US,01/29/2020,0
Skagit WA,US,01/29/2020,0
Thurston WA,US,01/29/2020,0
Island WA,US,01/29/2020,0
Whatcom WA,US,01/29/2020,0
Marin CA,US,01/29/2020,0
Calaveras CA,US,01/29/2020,0
Stanislaus CA,US,01/29/2020,0
San Joaquin CA,US,01/29/2020,0
Essex MA,US,01/29/2020,0
Charlton GA,US,01/29/2020,0
Collier FL,US,01/29/2020,0
Pinellas FL,US,01/29/2020,0
Alachua FL,US,01/29/2020,0
Nassau FL,US,01/29/2020,0
Pasco FL,US,01/29/2020,0
Dallas TX,US,01/29/2020,0
Tarrant TX,US,01/29/2020,0
Montgomery TX,US,01/29/2020,0
Middlesex NJ,US,01/29/2020,0
Jefferson CO,US,01/29/2020,0
Multnomah OR,US,01/29/2020,0
Polk OR,US,01/29/2020,0
Deschutes OR,US,01/29/2020,0
McHenry IL,US,01/29/2020,0
Lake IL,US,01/29/2020,0
Bucks PA,US,01/29/2020,0
Hanover VA,US,01/29/2020,0
Lancaster SC,US,01/29/2020,0
Sullivan TN,US,01/29/2020,0
Johnson IN,US,01/29/2020,0
Howard IN,US,01/29/2020,0
St. Joseph IN,US,01/29/2020,0
Knox NE,US,01/29/2020,0
Stark OH,US,01/29/2020,0
Anoka MN,US,01/29/2020,0
Olmsted MN,US,01/29/2020,0
Summit UT,US,01/29/2020,0
Fairfield CT,US,01/29/2020,0
Litchfield CT,US,01/29/2020,0
Orleans LA,US,01/29/2020,0
Pennington SD,US,01/29/2020,0
Beadle SD,US,01/29/2020,0
Charles Mix SD,US,01/29/2020,0
Davison SD,US,01/29/2020,0
Minnehaha SD,US,01/29/2020,0
Bon Homme SD,US,01/29/2020,0
Socorro NM,US,01/29/2020,0
Bernalillo NM,US,01/29/2020,0
Oakland MI,US,01/29/2020,0
Wayne MI,US,01/29/2020,0
New Castle DE,US,01/29/2020,0
Cuba,Cuba,01/29/2020,0
Guyana,Guyana,01/29/2020,0
Australian Capital Territory,Australia,01/29/2020,0
United Kingdom,United Kingdom,01/29/2020,0
Kazakhstan,Kazakhstan,01/29/2020,0
French Polynesia,France,01/29/2020,0
Manitoba,Canada,01/29/2020,0
Saskatchewan,Canada,01/29/2020,0
Ethiopia,Ethiopia,01/29/2020,0
Sudan,Sudan,01/29/2020,0
Guinea,Guinea,01/29/2020,0
Grand Princess,Canada,01/29/2020,0
Kenya,Kenya,01/29/2020,0
Antigua and Barbuda,Antigua and Barbuda,01/29/2020,0
Alabama,US,01/29/2020,0
Uruguay,Uruguay,01/29/2020,0
Ghana,Ghana,01/29/2020,0
Puerto Rico,US,01/29/2020,0
Namibia,Namibia,01/29/2020,0
Seychelles,Seychelles,01/29/2020,0
Trinidad and Tobago,Trinidad and Tobago,01/29/2020,0
Venezuela,Venezuela,01/29/2020,0
Eswatini,Eswatini,01/29/2020,0
Gabon,Gabon,01/29/2020,0
Guatemala,Guatemala,01/29/2020,0
Mauritania,Mauritania,01/29/2020,0
Rwanda,Rwanda,01/29/2020,0
Saint Lucia,Saint Lucia,01/29/2020,0
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,01/29/2020,0
Suriname,Suriname,01/29/2020,0
French Guiana,France,01/29/2020,0
Guam,US,01/29/2020,0
Kosovo,Kosovo,01/29/2020,0
Newfoundland and Labrador,Canada,01/29/2020,0
Prince Edward Island,Canada,01/29/2020,0
Central African Republic,Central African Republic,01/29/2020,0
Congo (Brazzaville),Congo (Brazzaville),01/29/2020,0
Equatorial Guinea,Equatorial Guinea,01/29/2020,0
Mayotte,France,01/29/2020,0
Uzbekistan,Uzbekistan,01/29/2020,0
Netherlands,Netherlands,01/29/2020,0
Nova Scotia,Canada,01/29/2020,0
Guadeloupe,France,01/29/2020,0
Benin,Benin,01/29/2020,0
Liberia,Liberia,01/29/2020,0
Curacao,Netherlands,01/29/2020,0
Somalia,Somalia,01/29/2020,0
Tanzania,Tanzania,01/29/2020,0
Virgin Islands,US,01/29/2020,0
Cayman Islands,United Kingdom,01/29/2020,0
Reunion,France,01/29/2020,0
Barbados,Barbados,01/29/2020,0
Montenegro,Montenegro,01/29/2020,0
Kyrgyzstan,Kyrgyzstan,01/29/2020,0
Mauritius,Mauritius,01/29/2020,0
Aruba,Netherlands,01/29/2020,0
Zambia,Zambia,01/29/2020,0
Djibouti,Djibouti,01/29/2020,0
Gambia The,Gambia The,01/29/2020,0
Montserrat,United Kingdom,01/29/2020,0
Bahamas The,Bahamas The,01/29/2020,0
Greenland,Denmark,01/29/2020,0
New Caledonia,France,01/29/2020,0
Bermuda,United Kingdom,01/29/2020,0
Chad,Chad,01/29/2020,0
El Salvador,El Salvador,01/29/2020,0
Fiji,Fiji,01/29/2020,0
Nicaragua,Nicaragua,01/29/2020,0
Madagascar,Madagascar,01/29/2020,0
Haiti,Haiti,01/29/2020,0
Angola,Angola,01/29/2020,0
Cabo Verde,Cabo Verde,01/29/2020,0
Sint Maarten,Netherlands,01/29/2020,0
Niger,Niger,01/29/2020,0
Papua New Guinea,Papua New Guinea,01/29/2020,0
Isle of Man,United Kingdom,01/29/2020,0
Zimbabwe,Zimbabwe,01/29/2020,0
Northwest Territories,Canada,01/29/2020,0
Cape Verde,Cape Verde,01/29/2020,0
East Timor,East Timor,01/29/2020,0
Eritrea,Eritrea,01/29/2020,0
Uganda,Uganda,01/29/2020,0
Thailand,Thailand,01/30/2020,0
Japan,Japan,01/30/2020,0
Singapore,Singapore,01/30/2020,0
Nepal,Nepal,01/30/2020,0
Malaysia,Malaysia,01/30/2020,0
British Columbia,Canada,01/30/2020,0
New South Wales,Australia,01/30/2020,0
Victoria,Australia,01/30/2020,0
Queensland,Australia,01/30/2020,0
Cambodia,Cambodia,01/30/2020,0
Sri Lanka,Sri Lanka,01/30/2020,0
Germany,Germany,01/30/2020,0
Finland,Finland,01/30/2020,0
United Arab Emirates,United Arab Emirates,01/30/2020,0
Philippines,Philippines,01/30/2020,0
India,India,01/30/2020,0
Italy,Italy,01/30/2020,0
Sweden,Sweden,01/30/2020,0
Spain,Spain,01/30/2020,0
South Australia,Australia,01/30/2020,0
Belgium,Belgium,01/30/2020,0
Egypt,Egypt,01/30/2020,0
From Diamond Princess,Australia,01/30/2020,0
Lebanon,Lebanon,01/30/2020,0
Iraq,Iraq,01/30/2020,0
Oman,Oman,01/30/2020,0
Afghanistan,Afghanistan,01/30/2020,0
Bahrain,Bahrain,01/30/2020,0
Kuwait,Kuwait,01/30/2020,0
Algeria,Algeria,01/30/2020,0
Croatia,Croatia,01/30/2020,0
Switzerland,Switzerland,01/30/2020,0
Austria,Austria,01/30/2020,0
Israel,Israel,01/30/2020,0
Pakistan,Pakistan,01/30/2020,0
Brazil,Brazil,01/30/2020,0
Georgia,Georgia,01/30/2020,0
Greece,Greece,01/30/2020,0
North Macedonia,North Macedonia,01/30/2020,0
Norway,Norway,01/30/2020,0
Romania,Romania,01/30/2020,0
Estonia,Estonia,01/30/2020,0
San Marino,San Marino,01/30/2020,0
Belarus,Belarus,01/30/2020,0
Iceland,Iceland,01/30/2020,0
Lithuania,Lithuania,01/30/2020,0
Mexico,Mexico,01/30/2020,0
New Zealand,New Zealand,01/30/2020,0
Nigeria,Nigeria,01/30/2020,0
Western Australia,Australia,01/30/2020,0
Ireland,Ireland,01/30/2020,0
Luxembourg,Luxembourg,01/30/2020,0
Monaco,Monaco,01/30/2020,0
Qatar,Qatar,01/30/2020,0
Ecuador,Ecuador,01/30/2020,0
Azerbaijan,Azerbaijan,01/30/2020,0
Armenia,Armenia,01/30/2020,0
Dominican Republic,Dominican Republic,01/30/2020,0
Indonesia,Indonesia,01/30/2020,0
Portugal,Portugal,01/30/2020,0
Andorra,Andorra,01/30/2020,0
Tasmania,Australia,01/30/2020,0
Latvia,Latvia,01/30/2020,0
Morocco,Morocco,01/30/2020,0
Saudi Arabia,Saudi Arabia,01/30/2020,0
Senegal,Senegal,01/30/2020,0
Argentina,Argentina,01/30/2020,0
Chile,Chile,01/30/2020,0
Jordan,Jordan,01/30/2020,0
Ukraine,Ukraine,01/30/2020,0
Hungary,Hungary,01/30/2020,0
Northern Territory,Australia,01/30/2020,0
Liechtenstein,Liechtenstein,01/30/2020,0
Poland,Poland,01/30/2020,0
Tunisia,Tunisia,01/30/2020,0
Bosnia and Herzegovina,Bosnia and Herzegovina,01/30/2020,0
Slovenia,Slovenia,01/30/2020,0
South Africa,South Africa,01/30/2020,0
Bhutan,Bhutan,01/30/2020,0
Cameroon,Cameroon,01/30/2020,0
Colombia,Colombia,01/30/2020,0
Costa Rica,Costa Rica,01/30/2020,0
Peru,Peru,01/30/2020,0
Serbia,Serbia,01/30/2020,0
Slovakia,Slovakia,01/30/2020,0
Togo,Togo,01/30/2020,0
Malta,Malta,01/30/2020,0
Martinique,Martinique,01/30/2020,0
Bulgaria,Bulgaria,01/30/2020,0
Maldives,Maldives,01/30/2020,0
Bangladesh,Bangladesh,01/30/2020,0
Paraguay,Paraguay,01/30/2020,0
Ontario,Canada,01/30/2020,0
Alberta,Canada,01/30/2020,0
Quebec,Canada,01/30/2020,0
Albania,Albania,01/30/2020,0
Cyprus,Cyprus,01/30/2020,0
Brunei,Brunei,01/30/2020,0
Washington,US,01/30/2020,0
New York,US,01/30/2020,0
California,US,01/30/2020,0
Massachusetts,US,01/30/2020,0
Diamond Princess,US,01/30/2020,0
Grand Princess,US,01/30/2020,0
Georgia,US,01/30/2020,0
Colorado,US,01/30/2020,0
Florida,US,01/30/2020,0
New Jersey,US,01/30/2020,0
Oregon,US,01/30/2020,0
Texas,US,01/30/2020,0
Illinois,US,01/30/2020,0
Pennsylvania,US,01/30/2020,0
Iowa,US,01/30/2020,0
Maryland,US,01/30/2020,0
North Carolina,US,01/30/2020,0
South Carolina,US,01/30/2020,0
Tennessee,US,01/30/2020,0
Virginia,US,01/30/2020,0
Arizona,US,01/30/2020,0
Indiana,US,01/30/2020,0
Kentucky,US,01/30/2020,0
District of Columbia,US,01/30/2020,0
Nevada,US,01/30/2020,0
New Hampshire,US,01/30/2020,0
Minnesota,US,01/30/2020,0
Nebraska,US,01/30/2020,0
Ohio,US,01/30/2020,0
Rhode Island,US,01/30/2020,0
Wisconsin,US,01/30/2020,0
Connecticut,US,01/30/2020,0
Hawaii,US,01/30/2020,0
Oklahoma,US,01/30/2020,0
Utah,US,01/30/2020,0
Burkina Faso,Burkina Faso,01/30/2020,0
Holy See,Holy See,01/30/2020,0
Mongolia,Mongolia,01/30/2020,0
Panama,Panama,01/30/2020,0
Kansas,US,01/30/2020,0
Louisiana,US,01/30/2020,0
Missouri,US,01/30/2020,0
Vermont,US,01/30/2020,0
Alaska,US,01/30/2020,0
Arkansas,US,01/30/2020,0
Delaware,US,01/30/2020,0
Idaho,US,01/30/2020,0
Maine,US,01/30/2020,0
Michigan,US,01/30/2020,0
Mississippi,US,01/30/2020,0
Montana,US,01/30/2020,0
New Mexico,US,01/30/2020,0
North Dakota,US,01/30/2020,0
South Dakota,US,01/30/2020,0
West Virginia,US,01/30/2020,0
Wyoming,US,01/30/2020,0
Hubei,China,01/30/2020,162
Iran,Iran,01/30/2020,0
Korea South,Korea South,01/30/2020,0
France,France,01/30/2020,0
Guangdong,China,01/30/2020,0
Henan,China,01/30/2020,2
Zhejiang,China,01/30/2020,0
Hunan,China,01/30/2020,0
Anhui,China,01/30/2020,0
Jiangxi,China,01/30/2020,0
Shandong,China,01/30/2020,0
Diamond Princess,Cruise Ship,01/30/2020,0
Jiangsu,China,01/30/2020,0
Chongqing,China,01/30/2020,0
Sichuan,China,01/30/2020,1
Heilongjiang,China,01/30/2020,2
Denmark,Denmark,01/30/2020,0
Beijing,China,01/30/2020,1
Shanghai,China,01/30/2020,1
Hebei,China,01/30/2020,1
Fujian,China,01/30/2020,0
Guangxi,China,01/30/2020,0
Shaanxi,China,01/30/2020,0
Yunnan,China,01/30/2020,0
Hainan,China,01/30/2020,1
Guizhou,China,01/30/2020,0
Tianjin,China,01/30/2020,0
Shanxi,China,01/30/2020,0
Gansu,China,01/30/2020,0
Hong Kong,China,01/30/2020,0
Liaoning,China,01/30/2020,0
Jilin,China,01/30/2020,0
Czechia,Czechia,01/30/2020,0
Xinjiang,China,01/30/2020,0
Inner Mongolia,China,01/30/2020,0
Ningxia,China,01/30/2020,0
Taiwan*,Taiwan*,01/30/2020,0
Vietnam,Vietnam,01/30/2020,0
Russia,Russia,01/30/2020,0
Qinghai,China,01/30/2020,0
Macau,China,01/30/2020,0
Moldova,Moldova,01/30/2020,0
Bolivia,Bolivia,01/30/2020,0
Faroe Islands,Denmark,01/30/2020,0
St Martin,France,01/30/2020,0
Honduras,Honduras,01/30/2020,0
Channel Islands,United Kingdom,01/30/2020,0
New Brunswick,Canada,01/30/2020,0
Tibet,China,01/30/2020,0
Congo (Kinshasa),Congo (Kinshasa),01/30/2020,0
Cote d'Ivoire,Cote d'Ivoire,01/30/2020,0
Saint Barthelemy,France,01/30/2020,0
Jamaica,Jamaica,01/30/2020,0
Turkey,Turkey,01/30/2020,0
Gibraltar,United Kingdom,01/30/2020,0
Kitsap WA,US,01/30/2020,0
Solano CA,US,01/30/2020,0
Santa Cruz CA,US,01/30/2020,0
Napa CA,US,01/30/2020,0
Ventura CA,US,01/30/2020,0
Worcester MA,US,01/30/2020,0
Gwinnett GA,US,01/30/2020,0
DeKalb GA,US,01/30/2020,0
Floyd GA,US,01/30/2020,0
Fayette GA,US,01/30/2020,0
Gregg TX,US,01/30/2020,0
Monmouth NJ,US,01/30/2020,0
Burlington NJ,US,01/30/2020,0
Camden NJ,US,01/30/2020,0
Passaic NJ,US,01/30/2020,0
Union NJ,US,01/30/2020,0
Eagle CO,US,01/30/2020,0
Larimer CO,US,01/30/2020,0
Arapahoe CO,US,01/30/2020,0
Gunnison CO,US,01/30/2020,0
Kane IL,US,01/30/2020,0
Monroe PA,US,01/30/2020,0
Philadelphia PA,US,01/30/2020,0
Norfolk VA,US,01/30/2020,0
Arlington VA,US,01/30/2020,0
Spotsylvania VA,US,01/30/2020,0
Loudoun VA,US,01/30/2020,0
Prince George's MD,US,01/30/2020,0
Pottawattamie IA,US,01/30/2020,0
Camden NC,US,01/30/2020,0
Pima AZ,US,01/30/2020,0
Noble IN,US,01/30/2020,0
Adams IN,US,01/30/2020,0
Boone IN,US,01/30/2020,0
Dane WI,US,01/30/2020,0
Pierce WI,US,01/30/2020,0
Cuyahoga OH,US,01/30/2020,0
Weber UT,US,01/30/2020,0
Bennington County VT,US,01/30/2020,0
Carver County MN,US,01/30/2020,0
Charlotte County FL,US,01/30/2020,0
Cherokee County GA,US,01/30/2020,0
Collin County TX,US,01/30/2020,0
Jefferson County KY,US,01/30/2020,0
Jefferson Parish LA,US,01/30/2020,0
Shasta County CA,US,01/30/2020,0
Spartanburg County SC,US,01/30/2020,0
Harrison County KY,US,01/30/2020,0
Johnson County IA,US,01/30/2020,0
Berkshire County MA,US,01/30/2020,0
Davidson County TN,US,01/30/2020,0
Douglas County OR,US,01/30/2020,0
Fresno County CA,US,01/30/2020,0
Harford County MD,US,01/30/2020,0
Hendricks County IN,US,01/30/2020,0
Hudson County NJ,US,01/30/2020,0
Johnson County KS,US,01/30/2020,0
Kittitas County WA,US,01/30/2020,0
Manatee County FL,US,01/30/2020,0
Marion County OR,US,01/30/2020,0
Okaloosa County FL,US,01/30/2020,0
Polk County GA,US,01/30/2020,0
Riverside County CA,US,01/30/2020,0
Shelby County TN,US,01/30/2020,0
St. Louis County MO,US,01/30/2020,0
Suffolk County NY,US,01/30/2020,0
Ulster County NY,US,01/30/2020,0
Volusia County FL,US,01/30/2020,0
Fairfax County VA,US,01/30/2020,0
Rockingham County NH,US,01/30/2020,0
Washington D.C.,US,01/30/2020,0
Montgomery County PA,US,01/30/2020,0
Alameda County CA,US,01/30/2020,0
Broward County FL,US,01/30/2020,0
Lee County FL,US,01/30/2020,0
Pinal County AZ,US,01/30/2020,0
Rockland County NY,US,01/30/2020,0
Saratoga County NY,US,01/30/2020,0
Charleston County SC,US,01/30/2020,0
Clark County WA,US,01/30/2020,0
Cobb County GA,US,01/30/2020,0
Davis County UT,US,01/30/2020,0
El Paso County CO,US,01/30/2020,0
Honolulu County HI,US,01/30/2020,0
Jackson County OR ,US,01/30/2020,0
Jefferson County WA,US,01/30/2020,0
Kershaw County SC,US,01/30/2020,0
Klamath County OR,US,01/30/2020,0
Madera County CA,US,01/30/2020,0
Pierce County WA,US,01/30/2020,0
Tulsa County OK,US,01/30/2020,0
Douglas County CO,US,01/30/2020,0
Providence County RI,US,01/30/2020,0
Chatham County NC,US,01/30/2020,0
Delaware County PA,US,01/30/2020,0
Douglas County NE,US,01/30/2020,0
Fayette County KY,US,01/30/2020,0
Marion County IN,US,01/30/2020,0
Middlesex County MA,US,01/30/2020,0
Nassau County NY,US,01/30/2020,0
Ramsey County MN,US,01/30/2020,0
Washoe County NV,US,01/30/2020,0
Wayne County PA,US,01/30/2020,0
Yolo County CA,US,01/30/2020,0
Santa Clara County CA,US,01/30/2020,0
Clark County NV,US,01/30/2020,0
Fort Bend County TX,US,01/30/2020,0
Grant County WA,US,01/30/2020,0
Santa Rosa County FL,US,01/30/2020,0
Williamson County TN,US,01/30/2020,0
New York County NY,US,01/30/2020,0
Montgomery County MD,US,01/30/2020,0
Suffolk County MA,US,01/30/2020,0
Denver County CO,US,01/30/2020,0
Summit County CO,US,01/30/2020,0
Bergen County NJ,US,01/30/2020,0
Harris County TX,US,01/30/2020,0
San Francisco County CA,US,01/30/2020,0
Contra Costa County CA,US,01/30/2020,0
Orange County CA,US,01/30/2020,0
Norfolk County MA,US,01/30/2020,0
Maricopa County AZ,US,01/30/2020,0
Wake County NC,US,01/30/2020,0
Westchester County NY,US,01/30/2020,0
Grafton County NH,US,01/30/2020,0
Hillsborough FL,US,01/30/2020,0
Placer County CA,US,01/30/2020,0
San Mateo CA,US,01/30/2020,0
Sonoma County CA,US,01/30/2020,0
Umatilla OR,US,01/30/2020,0
Fulton County GA,US,01/30/2020,0
Washington County OR,US,01/30/2020,0
Snohomish County WA,US,01/30/2020,0
Humboldt County CA,US,01/30/2020,0
Sacramento County CA,US,01/30/2020,0
San Diego County CA,US,01/30/2020,0
San Benito CA,US,01/30/2020,0
Los Angeles CA,US,01/30/2020,0
King County WA,US,01/30/2020,0
Cook County IL,US,01/30/2020,0
Skagit WA,US,01/30/2020,0
Thurston WA,US,01/30/2020,0
Island WA,US,01/30/2020,0
Whatcom WA,US,01/30/2020,0
Marin CA,US,01/30/2020,0
Calaveras CA,US,01/30/2020,0
Stanislaus CA,US,01/30/2020,0
San Joaquin CA,US,01/30/2020,0
Essex MA,US,01/30/2020,0
Charlton GA,US,01/30/2020,0
Collier FL,US,01/30/2020,0
Pinellas FL,US,01/30/2020,0
Alachua FL,US,01/30/2020,0
Nassau FL,US,01/30/2020,0
Pasco FL,US,01/30/2020,0
Dallas TX,US,01/30/2020,0
Tarrant TX,US,01/30/2020,0
Montgomery TX,US,01/30/2020,0
Middlesex NJ,US,01/30/2020,0
Jefferson CO,US,01/30/2020,0
Multnomah OR,US,01/30/2020,0
Polk OR,US,01/30/2020,0
Deschutes OR,US,01/30/2020,0
McHenry IL,US,01/30/2020,0
Lake IL,US,01/30/2020,0
Bucks PA,US,01/30/2020,0
Hanover VA,US,01/30/2020,0
Lancaster SC,US,01/30/2020,0
Sullivan TN,US,01/30/2020,0
Johnson IN,US,01/30/2020,0
Howard IN,US,01/30/2020,0
St. Joseph IN,US,01/30/2020,0
Knox NE,US,01/30/2020,0
Stark OH,US,01/30/2020,0
Anoka MN,US,01/30/2020,0
Olmsted MN,US,01/30/2020,0
Summit UT,US,01/30/2020,0
Fairfield CT,US,01/30/2020,0
Litchfield CT,US,01/30/2020,0
Orleans LA,US,01/30/2020,0
Pennington SD,US,01/30/2020,0
Beadle SD,US,01/30/2020,0
Charles Mix SD,US,01/30/2020,0
Davison SD,US,01/30/2020,0
Minnehaha SD,US,01/30/2020,0
Bon Homme SD,US,01/30/2020,0
Socorro NM,US,01/30/2020,0
Bernalillo NM,US,01/30/2020,0
Oakland MI,US,01/30/2020,0
Wayne MI,US,01/30/2020,0
New Castle DE,US,01/30/2020,0
Cuba,Cuba,01/30/2020,0
Guyana,Guyana,01/30/2020,0
Australian Capital Territory,Australia,01/30/2020,0
United Kingdom,United Kingdom,01/30/2020,0
Kazakhstan,Kazakhstan,01/30/2020,0
French Polynesia,France,01/30/2020,0
Manitoba,Canada,01/30/2020,0
Saskatchewan,Canada,01/30/2020,0
Ethiopia,Ethiopia,01/30/2020,0
Sudan,Sudan,01/30/2020,0
Guinea,Guinea,01/30/2020,0
Grand Princess,Canada,01/30/2020,0
Kenya,Kenya,01/30/2020,0
Antigua and Barbuda,Antigua and Barbuda,01/30/2020,0
Alabama,US,01/30/2020,0
Uruguay,Uruguay,01/30/2020,0
Ghana,Ghana,01/30/2020,0
Puerto Rico,US,01/30/2020,0
Namibia,Namibia,01/30/2020,0
Seychelles,Seychelles,01/30/2020,0
Trinidad and Tobago,Trinidad and Tobago,01/30/2020,0
Venezuela,Venezuela,01/30/2020,0
Eswatini,Eswatini,01/30/2020,0
Gabon,Gabon,01/30/2020,0
Guatemala,Guatemala,01/30/2020,0
Mauritania,Mauritania,01/30/2020,0
Rwanda,Rwanda,01/30/2020,0
Saint Lucia,Saint Lucia,01/30/2020,0
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,01/30/2020,0
Suriname,Suriname,01/30/2020,0
